ProductKey,EnglishProductName
1,Adjustable Race
486,All-Purpose Bike Stand
223,AWC Logo Cap
224,AWC Logo Cap
225,AWC Logo Cap
3,BB Ball Bearing
2,Bearing Ball
484,Bike Wash - Dissolver
5,Blade
447,Cable Lock
559,Chain
13,Chain Stays
11,Chainring
9,Chainring Bolts
10,Chainring Nut
473,"Classic Vest, L"
472,"Classic Vest, M"
471,"Classic Vest, S"
178,Cone-Shaped Race
12,Crown Race
177,Cup-Shaped Race
14,Decal 1
15,Decal 2
16,Down Tube
88,External Lock Washer 1
90,External Lock Washer 2
82,External Lock Washer 3
83,External Lock Washer 4
85,External Lock Washer 5
87,External Lock Washer 6
86,External Lock Washer 7
89,External Lock Washer 8
84,External Lock Washer 9
485,Fender Set - Mountain
22,Flat Washer 1
24,Flat Washer 2
27,Flat Washer 3
26,Flat Washer 4
29,Flat Washer 5
23,Flat Washer 6
30,Flat Washer 7
28,Flat Washer 8
25,Flat Washer 9
31,Fork Crown
20,Fork End
21,Freewheel
555,Front Brakes
552,Front Derailleur
32,Front Derailleur Cage
33,Front Derailleur Linkage
470,"Full-Finger Gloves, L"
469,"Full-Finger Gloves, M"
468,"Full-Finger Gloves, S"
34,Guide Pulley
466,"Half-Finger Gloves, L"
467,"Half-Finger Gloves, L"
464,"Half-Finger Gloves, M"
465,"Half-Finger Gloves, M"
462,"Half-Finger Gloves, S"
463,"Half-Finger Gloves, S"
77,Handlebar Tube
78,Head Tube
451,Headlights - Dual-Beam
452,Headlights - Weatherproof
4,Headset Ball Bearings
65,Hex Nut 1
66,Hex Nut 10
67,Hex Nut 11
63,Hex Nut 12
64,Hex Nut 13
72,Hex Nut 14
73,Hex Nut 15
56,Hex Nut 16
57,Hex Nut 17
75,Hex Nut 18
76,Hex Nut 19
68,Hex Nut 2
69,Hex Nut 20
70,Hex Nut 21
61,Hex Nut 22
62,Hex Nut 23
71,Hex Nut 3
74,Hex Nut 4
54,Hex Nut 5
55,Hex Nut 6
58,Hex Nut 7
59,Hex Nut 8
60,Hex Nut 9
483,Hitch Rack - 4-Bike
603,HL Bottom Bracket
8,HL Crankarm
558,HL Crankset
393,HL Fork
37,HL Grip Tape
396,HL Headset
80,HL Hub
304,"HL Mountain Frame - Black, 38"
305,"HL Mountain Frame - Black, 38"
306,"HL Mountain Frame - Black, 38"
296,"HL Mountain Frame - Black, 42"
297,"HL Mountain Frame - Black, 42"
298,"HL Mountain Frame - Black, 42"
299,"HL Mountain Frame - Black, 44"
301,"HL Mountain Frame - Black, 46"
302,"HL Mountain Frame - Black, 46"
303,"HL Mountain Frame - Black, 46"
300,"HL Mountain Frame - Black, 48"
307,"HL Mountain Frame - Silver, 38"
308,"HL Mountain Frame - Silver, 38"
309,"HL Mountain Frame - Silver, 38"
288,"HL Mountain Frame - Silver, 42"
289,"HL Mountain Frame - Silver, 42"
290,"HL Mountain Frame - Silver, 42"
291,"HL Mountain Frame - Silver, 44"
