DateKey,FullDateAlternateKey
20050101,2005-01-01 00:00:00
20050102,2005-01-02 00:00:00
20050103,2005-01-03 00:00:00
20050104,2005-01-04 00:00:00
20050105,2005-01-05 00:00:00
20050106,2005-01-06 00:00:00
20050107,2005-01-07 00:00:00
20050108,2005-01-08 00:00:00
20050109,2005-01-09 00:00:00
20050110,2005-01-10 00:00:00
20050111,2005-01-11 00:00:00
20050112,2005-01-12 00:00:00
20050113,2005-01-13 00:00:00
20050114,2005-01-14 00:00:00
20050115,2005-01-15 00:00:00
20050116,2005-01-16 00:00:00
20050117,2005-01-17 00:00:00
20050118,2005-01-18 00:00:00
20050119,2005-01-19 00:00:00
20050120,2005-01-20 00:00:00
20050121,2005-01-21 00:00:00
20050122,2005-01-22 00:00:00
20050123,2005-01-23 00:00:00
20050124,2005-01-24 00:00:00
20050125,2005-01-25 00:00:00
20050126,2005-01-26 00:00:00
20050127,2005-01-27 00:00:00
20050128,2005-01-28 00:00:00
20050129,2005-01-29 00:00:00
20050130,2005-01-30 00:00:00
20050131,2005-01-31 00:00:00
20050201,2005-02-01 00:00:00
20050202,2005-02-02 00:00:00
20050203,2005-02-03 00:00:00
20050204,2005-02-04 00:00:00
20050205,2005-02-05 00:00:00
20050206,2005-02-06 00:00:00
20050207,2005-02-07 00:00:00
20050208,2005-02-08 00:00:00
20050209,2005-02-09 00:00:00
20050210,2005-02-10 00:00:00
20050211,2005-02-11 00:00:00
20050212,2005-02-12 00:00:00
20050213,2005-02-13 00:00:00
20050214,2005-02-14 00:00:00
20050215,2005-02-15 00:00:00
20050216,2005-02-16 00:00:00
20050217,2005-02-17 00:00:00
20050218,2005-02-18 00:00:00
20050219,2005-02-19 00:00:00
20050220,2005-02-20 00:00:00
20050221,2005-02-21 00:00:00
20050222,2005-02-22 00:00:00
20050223,2005-02-23 00:00:00
20050224,2005-02-24 00:00:00
20050225,2005-02-25 00:00:00
20050226,2005-02-26 00:00:00
20050227,2005-02-27 00:00:00
20050228,2005-02-28 00:00:00
20050301,2005-03-01 00:00:00
20050302,2005-03-02 00:00:00
20050303,2005-03-03 00:00:00
20050304,2005-03-04 00:00:00
20050305,2005-03-05 00:00:00
20050306,2005-03-06 00:00:00
20050307,2005-03-07 00:00:00
20050308,2005-03-08 00:00:00
20050309,2005-03-09 00:00:00
20050310,2005-03-10 00:00:00
20050311,2005-03-11 00:00:00
20050312,2005-03-12 00:00:00
