CurrencyKey,CustomerKey,OrderDateKey,OrderQuantity,ProductKey,SalesAmount,TaxAmt,TotalProductCost,UnitPrice
98,11238,20110106,1,346,$3399.99,$271.9992,$1912.1544,$3399.99
98,11238,20130121,1,222,$34.99,$2.7992,$13.0863,$34.99
98,11238,20130121,1,359,$2294.99,$183.5992,$1251.9813,$2294.99
98,11238,20130312,1,214,$34.99,$2.7992,$13.0863,$34.99
98,11238,20130312,1,578,$1214.85,$97.188,$755.1508,$1214.85
98,11238,20130430,1,225,$8.99,$0.7192,$6.9223,$8.99
98,11238,20130430,1,477,$4.99,$0.3992,$1.8663,$4.99
98,11238,20130430,1,479,$8.99,$0.7192,$3.3623,$8.99
98,11238,20130430,1,605,$539.99,$43.1992,$343.6496,$539.99
98,11239,20110119,1,351,$3374.99,$269.9992,$1898.0944,$3374.99
98,11239,20130111,1,222,$34.99,$2.7992,$13.0863,$34.99
98,11239,20130111,1,225,$8.99,$0.7192,$6.9223,$8.99
98,11239,20130111,1,363,$2294.99,$183.5992,$1251.9813,$2294.99
98,11239,20130111,1,477,$4.99,$0.3992,$1.8663,$4.99
98,11239,20130111,1,478,$9.99,$0.7992,$3.7363,$9.99
98,11239,20130525,1,577,$1214.85,$97.188,$755.1508,$1214.85
98,11239,20130528,1,480,$2.29,$0.1832,$0.8565,$2.29
98,11239,20130528,1,529,$3.99,$0.3192,$1.4923,$3.99
98,11239,20130528,1,538,$21.49,$1.7192,$8.0373,$21.49
98,11239,20130528,1,584,$539.99,$43.1992,$343.6496,$539.99
98,11240,20110227,1,344,$3399.99,$271.9992,$1912.1544,$3399.99
98,11240,20121230,1,222,$34.99,$2.7992,$13.0863,$34.99
98,11240,20121230,1,355,$2319.99,$185.5992,$1265.6195,$2319.99
98,11240,20121230,1,477,$4.99,$0.3992,$1.8663,$4.99
98,11240,20121230,1,478,$9.99,$0.7992,$3.7363,$9.99
98,11240,20130508,1,477,$4.99,$0.3992,$1.8663,$4.99
98,11240,20130508,1,479,$8.99,$0.7192,$3.3623,$8.99
98,11240,20130508,1,481,$8.99,$0.7192,$3.3623,$8.99
98,11240,20130508,1,579,$1214.85,$97.188,$755.1508,$1214.85
