HouseID,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,house_value
0,-122.23,37.88,41,880,129,322,126,452600
1,-122.22,37.86,21,7099,1106,2401,1138,358500
2,-122.24,37.85,52,1467,190,496,177,352100
3,-122.25,37.85,52,1274,235,558,219,341300
4,-122.25,37.85,52,1627,280,565,259,342200
5,-122.25,37.85,52,919,213,413,193,269700
6,-122.25,37.84,52,2535,489,1094,514,299200
7,-122.25,37.84,52,3104,687,1157,647,241400
8,-122.26,37.84,42,2555,665,1206,595,226700
9,-122.25,37.84,52,3549,707,1551,714,261100
10,-122.26,37.85,52,2202,434,910,402,281500
11,-122.26,37.85,52,3503,752,1504,734,241800
12,-122.26,37.85,52,2491,474,1098,468,213500
13,-122.26,37.84,52,696,191,345,174,191300
14,-122.26,37.85,52,2643,626,1212,620,159200
15,-122.26,37.85,50,1120,283,697,264,140000
16,-122.27,37.85,52,1966,347,793,331,152500
17,-122.27,37.85,52,1228,293,648,303,155500
18,-122.26,37.84,50,2239,455,990,419,158700
19,-122.27,37.84,52,1503,298,690,275,162900
20,-122.27,37.85,40,751,184,409,166,147500
21,-122.27,37.85,42,1639,367,929,366,159800
22,-122.27,37.84,52,2436,541,1015,478,113900
23,-122.27,37.84,52,1688,337,853,325,99700
24,-122.27,37.84,52,2224,437,1006,422,132600
25,-122.28,37.85,41,535,123,317,119,107500
26,-122.28,37.85,49,1130,244,607,239,93800
27,-122.28,37.85,52,1898,421,1102,397,105500
28,-122.28,37.84,50,2082,492,1131,473,108900
29,-122.28,37.84,52,729,160,395,155,132000
30,-122.28,37.84,49,1916,447,863,378,122300
31,-122.28,37.84,52,2153,481,1168,441,115200
32,-122.27,37.84,48,1922,409,1026,335,110400
33,-122.27,37.83,49,1655,366,754,329,104900
34,-122.27,37.83,51,2665,574,1258,536,109700
35,-122.27,37.83,49,1215,282,570,264,97200
36,-122.27,37.83,48,1798,432,987,374,104500
37,-122.28,37.83,52,1511,390,901,403,103900
38,-122.26,37.83,52,1470,330,689,309,191400
39,-122.26,37.83,52,2432,715,1377,696,176000
40,-122.26,37.83,52,1665,419,946,395,155400
41,-122.26,37.83,51,936,311,517,249,150000
42,-122.26,37.84,49,713,202,462,189,118800
43,-122.26,37.84,52,950,202,467,198,188800
44,-122.26,37.83,52,1443,311,660,292,184400
45,-122.26,37.83,52,1656,420,718,382,182300
46,-122.26,37.83,50,1125,322,616,304,142500
47,-122.27,37.82,43,1007,312,558,253,137500
48,-122.26,37.82,40,624,195,423,160,187500
49,-122.27,37.82,40,946,375,700,352,112500
50,-122.27,37.82,21,896,453,735,438,171900
51,-122.27,37.82,43,1868,456,1061,407,93800
52,-122.27,37.82,41,3221,853,1959,720,97500
53,-122.27,37.82,52,1630,456,1162,400,104200
54,-122.28,37.82,52,1170,235,701,233,87500
55,-122.28,37.82,52,945,243,576,220,83100
56,-122.28,37.82,52,1238,288,622,259,87500
57,-122.28,37.82,52,1489,335,728,244,85300
58,-122.28,37.82,52,1387,341,1074,304,80300
59,-122.29,37.82,2,158,43,94,57,60000
60,-122.29,37.83,52,1121,211,554,187,75700
61,-122.29,37.82,49,135,29,86,23,75000
62,-122.29,37.81,50,760,190,377,122,86100
63,-122.3,37.81,52,1224,237,521,159,76100
64,-122.3,37.81,48,828,182,392,133,73500
65,-122.3,37.81,52,1010,209,604,187,78400
66,-122.3,37.81,48,1455,354,788,332,84400
67,-122.29,37.8,52,1027,244,492,147,81300
68,-122.3,37.81,52,572,109,274,82,85000
