House_ID,house_value
17000,17005
17001,17006
17002,17007
17003,17008
17004,17009
17005,17010
17006,17011
17007,17012
17008,17013
17009,17014
17010,17015
17011,17016
17012,17017
17013,17018
17014,17019
17015,17020
17016,17021
17017,17022
17018,17023
17019,17024
17020,17025
17021,17026
17022,17027
17023,17028
17024,17029
17025,17030
17026,17031
17027,17032
17028,17033
17029,17034
17030,17035
17031,17036
17032,17037
17033,17038
17034,17039
17035,17040
17036,17041
17037,17042
17038,17043
17039,17044
17040,17045
17041,17046
17042,17047
17043,17048
17044,17049
17045,17050
17046,17051
17047,17052
17048,17053
17049,17054
17050,17055
17051,17056
17052,17057
17053,17058
17054,17059
17055,17060
17056,17061
17057,17062
17058,17063
17059,17064
17060,17065
17061,17066
17062,17067
17063,17068
17064,17069
17065,17070
17066,17071
17067,17072
17068,17073
17069,17074
17070,17075
17071,17076
17072,17077
17073,17078
17074,17079
17075,17080
17076,17081
17077,17082
17078,17083
17079,17084
17080,17085
17081,17086
17082,17087
17083,17088
17084,17089
17085,17090
17086,17091
17087,17092
17088,17093
17089,17094
17090,17095
17091,17096
17092,17097
17093,17098
17094,17099
17095,17100
17096,17101
17097,17102
17098,17103
17099,17104
17100,17105
17101,17106
17102,17107
17103,17108
17104,17109
17105,17110
17106,17111
17107,17112
17108,17113
17109,17114
17110,17115
17111,17116
17112,17117
17113,17118
17114,17119
17115,17120
17116,17121
17117,17122
17118,17123
17119,17124
17120,17125
17121,17126
17122,17127
17123,17128
17124,17129
17125,17130
17126,17131
17127,17132
17128,17133
17129,17134
17130,17135
17131,17136
17132,17137
17133,17138
17134,17139
17135,17140
17136,17141
17137,17142
17138,17143
17139,17144
17140,17145
17141,17146
17142,17147
17143,17148
17144,17149
17145,17150
17146,17151
17147,17152
17148,17153
17149,17154
17150,17155
17151,17156
17152,17157
17153,17158
17154,17159
17155,17160
17156,17161
17157,17162
17158,17163
17159,17164
17160,17165
17161,17166
17162,17167
17163,17168
17164,17169
17165,17170
17166,17171
17167,17172
17168,17173
17169,17174
17170,17175
17171,17176
17172,17177
17173,17178
17174,17179
17175,17180
17176,17181
17177,17182
17178,17183
17179,17184
17180,17185
17181,17186
17182,17187
17183,17188
17184,17189
17185,17190
17186,17191
17187,17192
17188,17193
17189,17194
17190,17195
17191,17196
17192,17197
17193,17198
17194,17199
17195,17200
17196,17201
17197,17202
17198,17203
17199,17204
17200,17205
17201,17206
17202,17207
17203,17208
17204,17209
17205,17210
17206,17211
17207,17212
17208,17213
17209,17214
17210,17215
17211,17216
17212,17217
17213,17218
17214,17219
17215,17220
17216,17221
17217,17222
17218,17223
17219,17224
17220,17225
17221,17226
17222,17227
17223,17228
17224,17229
17225,17230
17226,17231
17227,17232
17228,17233
17229,17234
17230,17235
17231,17236
17232,17237
17233,17238
17234,17239
17235,17240
17236,17241
17237,17242
17238,17243
17239,17244
17240,17245
17241,17246
17242,17247
17243,17248
17244,17249
17245,17250
17246,17251
17247,17252
17248,17253
17249,17254
17250,17255
17251,17256
17252,17257
17253,17258
17254,17259
17255,17260
17256,17261
17257,17262
17258,17263
17259,17264
17260,17265
17261,17266
17262,17267
17263,17268
17264,17269
17265,17270
17266,17271
17267,17272
17268,17273
17269,17274
17270,17275
17271,17276
17272,17277
17273,17278
17274,17279
17275,17280
17276,17281
17277,17282
17278,17283
17279,17284
17280,17285
17281,17286
17282,17287
17283,17288
17284,17289
17285,17290
17286,17291
17287,17292
17288,17293
17289,17294
17290,17295
17291,17296
17292,17297
17293,17298
17294,17299
17295,17300
17296,17301
17297,17302
17298,17303
17299,17304
17300,17305
17301,17306
17302,17307
17303,17308
17304,17309
17305,17310
17306,17311
17307,17312
17308,17313
17309,17314
17310,17315
17311,17316
17312,17317
17313,17318
17314,17319
17315,17320
17316,17321
17317,17322
17318,17323
17319,17324
17320,17325
17321,17326
17322,17327
17323,17328
17324,17329
17325,17330
17326,17331
17327,17332
17328,17333
17329,17334
17330,17335
17331,17336
17332,17337
17333,17338
17334,17339
17335,17340
17336,17341
17337,17342
17338,17343
17339,17344
17340,17345
17341,17346
17342,17347
17343,17348
17344,17349
17345,17350
17346,17351
17347,17352
17348,17353
17349,17354
17350,17355
17351,17356
17352,17357
17353,17358
17354,17359
17355,17360
17356,17361
17357,17362
17358,17363
17359,17364
17360,17365
17361,17366
17362,17367
17363,17368
17364,17369
17365,17370
17366,17371
17367,17372
17368,17373
17369,17374
17370,17375
17371,17376
17372,17377
17373,17378
17374,17379
17375,17380
17376,17381
17377,17382
17378,17383
17379,17384
17380,17385
17381,17386
17382,17387
17383,17388
17384,17389
17385,17390
17386,17391
17387,17392
17388,17393
17389,17394
17390,17395
17391,17396
17392,17397
17393,17398
17394,17399
17395,17400
17396,17401
17397,17402
17398,17403
17399,17404
17400,17405
17401,17406
17402,17407
17403,17408
17404,17409
17405,17410
17406,17411
17407,17412
17408,17413
17409,17414
17410,17415
17411,17416
17412,17417
17413,17418
17414,17419
17415,17420
17416,17421
17417,17422
17418,17423
17419,17424
17420,17425
17421,17426
17422,17427
17423,17428
17424,17429
17425,17430
17426,17431
17427,17432
17428,17433
17429,17434
17430,17435
17431,17436
17432,17437
17433,17438
17434,17439
17435,17440
17436,17441
17437,17442
17438,17443
17439,17444
17440,17445
17441,17446
17442,17447
17443,17448
17444,17449
17445,17450
17446,17451
17447,17452
17448,17453
17449,17454
17450,17455
17451,17456
17452,17457
17453,17458
17454,17459
17455,17460
17456,17461
17457,17462
17458,17463
17459,17464
17460,17465
17461,17466
17462,17467
17463,17468
17464,17469
17465,17470
17466,17471
17467,17472
17468,17473
17469,17474
17470,17475
17471,17476
17472,17477
17473,17478
17474,17479
17475,17480
17476,17481
17477,17482
17478,17483
17479,17484
17480,17485
17481,17486
17482,17487
17483,17488
17484,17489
17485,17490
17486,17491
17487,17492
17488,17493
17489,17494
17490,17495
17491,17496
17492,17497
17493,17498
17494,17499
17495,17500
17496,17501
17497,17502
17498,17503
17499,17504
17500,17505
17501,17506
17502,17507
17503,17508
17504,17509
17505,17510
17506,17511
17507,17512
17508,17513
17509,17514
17510,17515
17511,17516
17512,17517
17513,17518
17514,17519
17515,17520
17516,17521
17517,17522
17518,17523
17519,17524
17520,17525
17521,17526
17522,17527
17523,17528
17524,17529
17525,17530
17526,17531
17527,17532
17528,17533
17529,17534
17530,17535
17531,17536
17532,17537
17533,17538
17534,17539
17535,17540
17536,17541
17537,17542
17538,17543
17539,17544
17540,17545
17541,17546
17542,17547
17543,17548
17544,17549
17545,17550
17546,17551
17547,17552
17548,17553
17549,17554
17550,17555
17551,17556
17552,17557
17553,17558
17554,17559
17555,17560
17556,17561
17557,17562
17558,17563
17559,17564
17560,17565
17561,17566
17562,17567
17563,17568
17564,17569
17565,17570
17566,17571
17567,17572
17568,17573
17569,17574
17570,17575
17571,17576
17572,17577
17573,17578
17574,17579
17575,17580
17576,17581
17577,17582
17578,17583
17579,17584
17580,17585
17581,17586
17582,17587
17583,17588
17584,17589
17585,17590
17586,17591
17587,17592
17588,17593
17589,17594
17590,17595
17591,17596
17592,17597
17593,17598
17594,17599
17595,17600
17596,17601
17597,17602
17598,17603
17599,17604
17600,17605
17601,17606
17602,17607
17603,17608
17604,17609
17605,17610
17606,17611
17607,17612
17608,17613
17609,17614
17610,17615
17611,17616
17612,17617
17613,17618
17614,17619
17615,17620
17616,17621
17617,17622
17618,17623
17619,17624
17620,17625
17621,17626
17622,17627
17623,17628
17624,17629
17625,17630
17626,17631
17627,17632
17628,17633
17629,17634
17630,17635
17631,17636
17632,17637
17633,17638
17634,17639
17635,17640
17636,17641
17637,17642
17638,17643
17639,17644
17640,17645
17641,17646
17642,17647
17643,17648
17644,17649
17645,17650
17646,17651
17647,17652
17648,17653
17649,17654
17650,17655
17651,17656
17652,17657
17653,17658
17654,17659
17655,17660
17656,17661
17657,17662
17658,17663
17659,17664
17660,17665
17661,17666
17662,17667
17663,17668
17664,17669
17665,17670
17666,17671
17667,17672
17668,17673
17669,17674
17670,17675
17671,17676
17672,17677
17673,17678
17674,17679
17675,17680
17676,17681
17677,17682
17678,17683
17679,17684
17680,17685
17681,17686
17682,17687
17683,17688
17684,17689
17685,17690
17686,17691
17687,17692
17688,17693
17689,17694
17690,17695
17691,17696
17692,17697
17693,17698
17694,17699
17695,17700
17696,17701
17697,17702
17698,17703
17699,17704
17700,17705
17701,17706
17702,17707
17703,17708
17704,17709
17705,17710
17706,17711
17707,17712
17708,17713
17709,17714
17710,17715
17711,17716
17712,17717
17713,17718
17714,17719
17715,17720
17716,17721
17717,17722
17718,17723
17719,17724
17720,17725
17721,17726
17722,17727
17723,17728
17724,17729
17725,17730
17726,17731
17727,17732
17728,17733
17729,17734
17730,17735
17731,17736
17732,17737
17733,17738
17734,17739
17735,17740
17736,17741
17737,17742
17738,17743
17739,17744
17740,17745
17741,17746
17742,17747
17743,17748
17744,17749
17745,17750
17746,17751
17747,17752
17748,17753
17749,17754
17750,17755
17751,17756
17752,17757
17753,17758
17754,17759
17755,17760
17756,17761
17757,17762
17758,17763
17759,17764
17760,17765
17761,17766
17762,17767
17763,17768
17764,17769
17765,17770
17766,17771
17767,17772
17768,17773
17769,17774
17770,17775
17771,17776
17772,17777
17773,17778
17774,17779
17775,17780
17776,17781
17777,17782
17778,17783
17779,17784
17780,17785
17781,17786
17782,17787
17783,17788
17784,17789
17785,17790
17786,17791
17787,17792
17788,17793
17789,17794
17790,17795
17791,17796
17792,17797
17793,17798
17794,17799
17795,17800
17796,17801
17797,17802
17798,17803
17799,17804
17800,17805
17801,17806
17802,17807
